ID,Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,
200,Mason Transportation Corridor,2001,15,Expansion,New Starts,Fort Collins,Colorado,Bus Rapid Transit,
201,San Fernando Valley East-West Transit Corridor,2000,13,Introduction,New Starts,Los Angeles,California,Bus Rapid Transit,
202,Mid-city/ Exposition LRT,2001,2,Expansion,New Starts,Los Angeles,California,Light Rail,
203,East Central Corridor,1993,7,Expansion,New Starts,Los Angeles,California,Light Rail,
204,Eastside Corridor LRT,2000,8,Introduction,New Starts,Los Angeles,California,Light Rail,
205,MOS-3 ,1993,9,Expansion,New Starts,Los Angeles,California,Heavy Rail,"MOS-3 originally had 3 components: A North Hollywood extension, East Side extension and the Mid-City extension. In addition, a phase 2 of the Eastside corridor was already in preliminary engineering. Due to budget issues 1998, all components were cancelled except the North Hollywood extension, which was opened in 2000. The East side corridor was renewed as a light rail project and renamed the Metro Gold Line Eastside Extension (#208)"
205a,MOS-3 North Hollywood Extension,1997,3,Expansion,New Starts,Los Angeles,California,Heavy Rail,
205b,MOS-3 East Side Extension,1993,4,Expansion,New Starts,Los Angeles,California,Heavy Rail,
205c,MOS-3 The Mid-City Extension,1993,2,Expansion,New Starts,Los Angeles,California,Heavy Rail,
206,Eastside Corridor Extension Phase 2,1993,3,Expansion,New Starts,Los Angeles,California,Heavy Rail,
207,LOSSAN Rail Corridor Improvement Project ,1997,0,Improvement of Existing Service,New Starts,Los Angeles,California,Commuter Rail,
208,Metro Gold Line Eastside Extension ,2004,8,Expansion of Existing System,New Starts,Los Angeles,California,Light Rail,
209,Regional Connector,2011,3,Introduction of New Mode,New Starts,Los Angeles,California,Light Rail,
210,Westside Subway Extension Section 1,2011,7,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail,
211,Westside Purple Line Extension Section 1,2012,3,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail,
212,Westside Purple Line Extension Section 2,2014,2,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail,
213,Westside Purple Line Extension Section 3,2018,2,Expansion of Existing System,New Starts,Los Angeles,California,Heavy Rail,
214,Downtown Los Angeles Streetcar,2013,24,Introduction of New Mode,Small Starts,Los Angeles,California,Streetcar,
215,BART Airport Extension ,1996,4,Expansion of Existing System,New Starts,San Francisco Area,California,Heavy Rail,
216,San Francisco (Bayshore) ,1996,NAV,Introduction of New Mode,New Starts,San Francisco Area,California,Light Rail,
217,Central Subway LRT ,2002,3,Expansion of Existing System,New Starts,San Francisco Area,California,Light Rail,
218,Third Street Light Rail Phase 1 ,1996,19,Expansion of Existing System,New Starts,San Francisco,California,Light Rail,
219,Third Street Light Rail Phase 2 – Central Subway,2002,4,Expansion of Existing System,New Starts,San Francisco,California,Light Rail,
220,Van Ness Avenue BRT ,2007,8,Introduction of New Mode,Small Starts,San Francisco,California,Bus Rapid Transit,
221,Transbay Corridor ,2015,46,Introduction of New Mode,Core Capacity,San Francisco,California,Heavy Rail,
222,South corridor (IOS-1),1997,12,Introduction of New Mode,New Starts,Sacramento,California,Light Rail,
223,South  Corridor Phase Light Rail Transit Extension,2005,4,Expansion of Existing System,New Starts,Sacramento,California,Light Rail,
224,Downtown Riverfront Streetcar,2014,17,Introduction of New Mode,Small Starts,Sacramento,California,Streetcar,
225,Tasman LRT (West Extension),1992,19,Expansion of Existing System,New Starts,San Jose,California,Light Rail,
226,Tasman LRT (West Extension) Phase 1,1992,11,Expansion of Existing System,New Starts,San Jose,California,Light Rail,
227,El Camino Real Corridor BRT Project ,2013,14,Introduction of New Mode,Small Starts,San Jose,California,Bus Rapid Transit,
228,Silicon Valley Berryessa Extension Project,2002,2,Expansion of Existing System,New Starts,San Jose,California,Heavy Rail,
229,Silicon Valley Phase II,2016,4,Expansion of Existing System,New Starts,San Jose,California,Heavy Rail,
230,Mid Coast Corridor (LR),1996,3,Expansion of Existing System,New Starts,San Diego County,California,Light Rail,
231,Oceanside-Escondido Rail Corridor ,2000,15,Introduction of New Mode,New Starts,San Diego County,California,Heavy Rail,
232,I-405/SR-55 Transitway and Direct Access HOV Ramps ,,NA,Improvement of Existing Service,New Starts,Orange County,California,Transitway,
233,CenterLine LRT Project ,1998,35,Introduction of New Mode,New Starts,Orange County,California,Light Rail,
234,"San Diego County, California/Mission Valley East ",1998,4,Expansion of Existing System,New Starts,San Diego,California,Light Rail,
235,Mid-Coast Corridor Transit Project,2011,9,Expansion of Existing System,New Starts,San Diego,California,Light Rail,"Initally 8, later 9 stations (hence the cost increase)"
236,Caltrain Peninsula Corridor Electrification Project ,2015,NA,Improvement of Existing Service,Core Capacity,San Carlos ,California,Commuter Rail,
237,Blackstone/Kings Canyon Bus Rapid Transit,2010,27,Improvement of Existing Service,Small Starts,Fresno,California,Bus Rapid Transit,
238,Garden Grove Streetcar,2015,10,Introduction of New Mode,New Starts,Santa Ana,California,Streetcar,
239,East Bay BRT,2008,32,Introduction of New Mode,Small Starts,San Leandro,California,Bus Rapid Transit,
240,San Rafael to Larkspur Regional Connection,2013,1,Expansion of Existing System,Small Starts,San Rafael,California,Commuter Rail,
241,Redlands Passenger Rail Project,2016,4,Introduction of New Mode,Small Starts,San Bernadino,California,Commuter Rail,
242,SPRINTER Light Rail (Oceanside-Escondido) ,2000,15,Introduction of New Mode,New Starts,Oceanside,California,Light Rail,
243,South LRT,1995,NAV,Introduction of New Mode,New Starts,Salt Lake City,Utah ,Light Rail,
244,Downtown connector ,1998,15,Expansion of Existing System,New Starts,Salt Lake City,Utah ,Light Rail,
245,Mid-Jordan LRT ,2007,9,Expansion of Existing System,New Starts,Salt Lake City,Utah ,Light Rail,
246,Weber County to Salt Lake City Commuter Rail ,2003,8,Introduction of New Mode,New Starts,Salt Lake City,Utah ,Commuter Rail,
